iter	RMSE
0	1.570342793
1	1.513430929
2	1.465576593
3	1.425200912
4	1.39056216
5	1.361600908
6	1.336309957
7	1.31497906
8	1.296579059
9	1.28103178
10	1.267874117
11	1.255633938
12	1.245877195
13	1.237068034
14	1.228682726
15	1.221886738
16	1.216173352
17	1.210935826
18	1.205680535
19	1.201323651
20	1.197504945
21	1.194329544
22	1.191208742
23	1.188526055
24	1.1862431
25	1.183856735
26	1.181791856
27	1.179979571
28	1.178349713
29	1.17692005
30	1.175707782
31	1.174576932
32	1.173449013
33	1.172251139
34	1.171401857
35	1.17022431
36	1.169387408
37	1.16856066
38	1.167769681
39	1.167101587
40	1.166437144
41	1.165895342
42	1.165412508
43	1.164559347
44	1.163929055
45	1.163367281
46	1.162965615
47	1.162342935
48	1.161923311
49	1.161475564
50	1.161126709
51	1.160683165
52	1.160350386
53	1.160067011
54	1.159768363
55	1.159502807
56	1.159142766
57	1.158836322
58	1.158419165
59	1.158147892
60	1.157765853
61	1.157364154
62	1.157132049
63	1.156753104
64	1.156501005
65	1.156269746
66	1.156094723
67	1.155829645
68	1.155551416
69	1.155355778
70	1.155073533
71	1.154894006
72	1.154595086
73	1.154406209
74	1.154167333
75	1.154022045
76	1.153744504
77	1.153475262
78	1.153369952
79	1.153209742
80	1.153073335
81	1.152729101
82	1.152525605
83	1.152335281
84	1.152210786
85	1.152033459
86	1.151893173
87	1.151794196
88	1.151598762
89	1.151512677
90	1.151232737
91	1.151149606
92	1.150897591
93	1.150798752
94	1.150614913
95	1.150368809
96	1.150179541
97	1.150069937
98	1.149874302
99	1.149654347
100	1.149517721
101	1.149357162
102	1.149272712
103	1.149179817
104	1.148994863
105	1.148857425
106	1.14873904
107	1.148548458
108	1.148393149
109	1.148224714
110	1.148105456
111	1.147908564
112	1.147772544
113	1.147625252
114	1.14755168
115	1.147463293
116	1.14739233
117	1.147236436
118	1.147135556
119	1.147028616
120	1.146942545
121	1.146791916
122	1.14664574
123	1.146504867
124	1.146370078
125	1.146218903
126	1.146110658
127	1.14595592
128	1.145820712
129	1.14574154
130	1.145618242
131	1.145522353
132	1.14539836
133	1.145247039
134	1.145059387
135	1.144926889
136	1.144780059
137	1.14466655
138	1.144505974
139	1.144384139
140	1.144269301
141	1.144202001
142	1.144083323
143	1.143943586
144	1.143840581
145	1.143720649
146	1.143601539
147	1.143490686
148	1.143406741
149	1.143276323
150	1.143213089
151	1.143109094
152	1.142986469
153	1.142913882
154	1.142798045
155	1.142699552
156	1.142635823
157	1.142509516
158	1.142410819
159	1.142320121
160	1.142197768
161	1.142088283
162	1.142006122
163	1.141914118
164	1.141793311
165	1.141677143
166	1.141570693
167	1.141480118
168	1.141425531
169	1.14136283
170	1.141256347
171	1.141149886
172	1.141062473
173	1.140991225
174	1.140928982
175	1.14084684
176	1.140784491
177	1.140712065
178	1.14059965
179	1.140486516
180	1.14040108
181	1.140278198
182	1.140215334
183	1.140155354
184	1.140071785
185	1.13993517
186	1.139849111
187	1.139788191
188	1.139721033
189	1.139629385
190	1.139576978
191	1.139510123
192	1.139442063
193	1.139348711
194	1.139256339
195	1.13918538
196	1.139126659
197	1.139045981
198	1.139011313
199	1.138924622
200	1.138863651
201	1.138788408
202	1.138706727
203	1.138643836
204	1.138572101
205	1.138476919
206	1.138382832
207	1.138298384
208	1.13821476
209	1.138142217
210	1.138026578
211	1.137977172
212	1.137905522
213	1.137831279
214	1.137772702
215	1.13772443
216	1.137661437
217	1.137611154
218	1.137525651
219	1.137444843
220	1.137368336
221	1.137319857
222	1.137284203
223	1.13722229
224	1.137157865
225	1.137089633
226	1.137018117
227	1.136982994
228	1.136915319
229	1.136862944
230	1.136794734
231	1.136708105
232	1.136630511
233	1.136552519
234	1.136495358
235	1.136444969
236	1.136375481
237	1.136327341
238	1.136270266
239	1.136201771
240	1.136141693
241	1.136071736
242	1.136019721
243	1.135929643
244	1.135795186
245	1.135736668
246	1.135678987
247	1.135620695
248	1.135575459
249	1.135530626
250	1.135496021
251	1.135443813
252	1.135341164
253	1.135276376
254	1.135212854
255	1.135163751
256	1.135108388
257	1.135054895
258	1.134993693
259	1.134932602
260	1.134865988
261	1.134814462
262	1.134742599
263	1.134661211
264	1.134621674
265	1.13455215
266	1.134493498
267	1.134435489
268	1.134401343
269	1.134355744
270	1.134297799
271	1.134198562
272	1.134141135
273	1.134091042
274	1.134025449
275	1.133982418
276	1.133940555
277	1.133897587
278	1.133838089
279	1.13378482
280	1.133728203
281	1.133666089
282	1.1336409
283	1.133581848
284	1.133534593
285	1.133466869
286	1.133381294
287	1.133322188
288	1.133277605
289	1.133236771
290	1.133177483
291	1.133126057
292	1.133056404
293	1.133019253
294	1.132952444
295	1.132900315
296	1.132852389
297	1.132804488
298	1.132765535
299	1.132704421
300	1.132636796
301	1.132596544
302	1.132532967
303	1.132498016
304	1.132427628
305	1.132387234
306	1.132331255
307	1.132273454
308	1.132229634
309	1.132186138
310	1.132137602
311	1.13207943
312	1.132033809
313	1.131986163
314	1.131930111
315	1.131900668
316	1.131859231
317	1.131820725
318	1.131756615
319	1.131710762
320	1.131656145
321	1.13160077
322	1.131545315
323	1.131507328
324	1.131456304
325	1.131402411
326	1.131345609
327	1.131289851
328	1.131233156
329	1.131201227
330	1.131157646
331	1.131099877
332	1.131023369
333	1.130970611
334	1.130919105
335	1.130857936
336	1.13080094
337	1.130733641
338	1.130702055
339	1.130649604
340	1.130607383
341	1.130564777
342	1.13051777
343	1.130463311
344	1.130378823
345	1.130334399
346	1.130297845
347	1.130245714
348	1.130181268
349	1.130111785
