iter	Passed	Remaining
0	249	249078
1	526	262585
2	813	270331
3	1160	289050
4	1486	295748
5	1800	298289
6	2067	293275
7	2361	292792
8	2764	304360
9	3253	322076
10	3676	330531
11	3938	324306
12	4256	323130
13	4562	321343
14	4870	319836
15	5179	318562
16	5441	314661
17	5700	311006
18	5926	306000
19	6146	301178
20	6359	296473
21	6549	291160
22	6757	287029
23	6949	282605
24	7181	280064
25	7373	276232
26	7551	272120
27	7758	269336
28	7946	266060
29	8159	263815
30	8354	261137
31	8559	258920
32	8751	256434
33	8946	254173
34	9145	252154
35	9324	249691
36	9499	247256
37	9682	245120
38	9854	242835
39	10040	240983
40	10253	239825
41	10427	237857
42	10638	236761
43	10776	234141
44	10837	229997
45	10875	225551
46	10901	221053
47	10930	216791
48	10958	212689
49	10991	208843
50	11026	205180
51	11063	201702
52	11099	198317
53	11129	194968
54	11158	191728
55	11186	188564
56	11207	185421
57	11232	182430
58	11255	179521
59	11282	176753
60	11307	174063
61	11329	171410
62	11353	168859
63	11378	166406
64	11401	163999
65	11423	161657
66	11446	159402
67	11470	157218
68	11495	155112
69	11519	153038
70	11541	151010
71	11566	149085
72	11590	147180
73	11612	145317
74	11635	143503
75	11659	141758
76	11682	140044
77	11705	138363
78	11728	136729
79	11751	135142
80	11785	133711
81	11809	132213
82	11836	130771
83	11861	129347
84	11885	127943
85	11910	126581
86	11933	125234
87	11958	123930
88	11982	122647
89	12005	121385
90	12028	120154
91	12053	118964
92	12079	117806
93	12103	116659
94	12127	115533
95	12152	114434
96	12177	113367
97	12201	112307
98	12226	111270
99	12250	110257
100	12274	109259
101	12299	108280
102	12322	107316
103	12346	106369
104	12372	105458
105	12397	104556
106	12421	103669
107	12446	102799
108	12469	101932
109	12492	101077
110	12517	100255
111	12541	99436
112	12566	98639
113	12590	97852
114	12614	97076
115	12638	96311
116	12662	95563
117	12685	94822
118	12710	94097
119	12735	93390
120	12758	92687
121	12784	92004
122	12807	91321
123	12832	90652
124	12854	89983
125	12877	89326
126	12906	88721
127	12933	88111
128	12957	87491
129	12982	86884
130	13007	86285
131	13035	85715
132	13061	85145
133	13086	84571
134	13110	84006
135	13134	83445
136	13160	82899
137	13185	82359
138	13209	81825
139	13234	81298
140	13257	80764
141	13279	80239
142	13304	79733
143	13326	79219
144	13350	78724
145	13374	78228
146	13397	77744
147	13423	77274
148	13445	76790
149	13469	76327
150	13492	75861
151	13515	75400
152	13539	74954
153	13566	74527
154	13590	74092
155	13613	73655
156	13637	73227
157	13662	72810
158	13685	72387
