iter	RMSE
0	16.36688359
1	16.34158447
2	16.32338648
3	16.3097297
4	16.28499515
5	16.26178476
6	16.25583696
7	16.23963393
8	16.23190886
9	16.21685164
10	16.19993217
11	16.19425123
12	16.18355115
13	16.17424543
14	16.17075299
15	16.16194393
16	16.1558277
17	16.14870988
18	16.13315985
19	16.12999945
20	16.12894549
21	16.11651327
22	16.09822213
23	16.0959427
24	16.07036288
25	16.06747132
26	16.05237908
27	16.04498004
28	16.0413627
29	16.03967783
30	16.03526117
31	16.02465917
32	16.00448748
33	16.00231206
34	16.00118209
35	15.99487547
36	15.98330281
37	15.96280874
38	15.95242525
39	15.94610813
40	15.94543738
41	15.94450983
42	15.93306746
43	15.91979409
44	15.91510174
45	15.90180194
46	15.892286
47	15.8661388
48	15.84493715
49	15.82538937
50	15.82487399
51	15.8226094
52	15.81206781
53	15.80662919
54	15.8018862
55	15.79356201
56	15.78678124
57	15.78127769
58	15.77859772
59	15.77481711
60	15.77436606
61	15.76385985
62	15.75888742
63	15.75112445
64	15.74707453
65	15.73554278
66	15.72711981
67	15.71722689
68	15.70320564
69	15.70283759
70	15.69328445
71	15.66552627
72	15.66309509
73	15.65559865
74	15.65423811
75	15.64578802
76	15.6415489
77	15.63259986
78	15.62451149
79	15.62421731
80	15.61602064
81	15.61502146
82	15.61311456
83	15.60071625
84	15.5893582
85	15.58233419
86	15.56999386
87	15.56747904
88	15.55677734
89	15.55453143
90	15.5465388
91	15.51379714
92	15.51071219
93	15.50275601
94	15.49459322
95	15.48288615
96	15.47711566
97	15.46302839
98	15.46033725
99	15.45498831
100	15.4532302
101	15.44568683
102	15.44534293
103	15.44078784
104	15.43243059
105	15.42238923
106	15.41621062
107	15.41385458
108	15.41113439
109	15.4070019
110	15.40552478
111	15.40516679
112	15.40385408
113	15.4013904
114	15.397306
115	15.38369716
116	15.36937595
117	15.36532602
118	15.36479008
119	15.36453988
120	15.35023811
121	15.33641644
122	15.32777665
123	15.32419916
124	15.32168568
125	15.31776101
126	15.31019533
127	15.3007944
128	15.28898559
129	15.28122301
130	15.27649098
131	15.26732014
132	15.26001307
133	15.25739456
134	15.2518069
135	15.24853572
136	15.24753021
137	15.24338308
138	15.23776878
139	15.23233836
140	15.22575969
141	15.21292589
142	15.20321595
143	15.19806951
144	15.19411806
145	15.18679701
146	15.18256016
147	15.17996859
148	15.16692775
149	15.16055204
150	15.15121018
151	15.1462764
152	15.13989616
153	15.13694974
154	15.13188193
155	15.12483432
156	15.11939445
157	15.11043431
158	15.10424232
159	15.09484401
160	15.08606055
161	15.08427692
162	15.07861423
163	15.07098713
164	15.06336133
165	15.05811654
166	15.05390567
167	15.04254219
168	15.0382461
169	15.03240945
170	15.03010521
171	15.02861811
172	15.01990216
173	15.01222662
174	15.0058893
175	15.00226585
176	15.00134396
177	14.99825142
178	14.99730735
179	14.97358403
180	14.97177642
181	14.96693858
182	14.96204524
183	14.95496517
184	14.94982749
185	14.94147585
186	14.93605283
187	14.93263441
188	14.93204105
189	14.9227247
190	14.91986484
191	14.91240454
192	14.90726216
193	14.90553143
194	14.90083947
195	14.89801685
196	14.88744989
197	14.87837543
198	14.87377964
199	14.87086588
