iter	Passed	Remaining
0	117	23352
1	232	23059
2	353	23239
3	481	23598
4	598	23335
5	738	23876
6	881	24316
7	1026	24631
8	1160	24631
9	1288	24484
10	1420	24408
11	1564	24503
12	1693	24362
13	1826	24269
14	1954	24106
15	2093	24070
16	2220	23901
17	2432	24597
18	2566	24451
19	2699	24296
20	2840	24211
21	2975	24071
22	3096	23830
23	3234	23722
24	3363	23545
25	3501	23432
26	3631	23269
27	3757	23079
28	3890	22941
29	4014	22747
30	4132	22526
31	4243	22278
32	4365	22091
33	4509	22015
34	4621	21789
35	4751	21645
36	4878	21489
37	5008	21351
38	5126	21164
39	5250	21000
40	5364	20802
41	5492	20662
42	5619	20518
43	5741	20356
44	5845	20135
45	5979	20019
46	6116	19909
47	6266	19843
48	6426	19803
49	6584	19752
50	6738	19687
51	6866	19544
52	6995	19403
53	7124	19263
54	7272	19173
55	7420	19080
56	7556	18958
57	7690	18827
58	7803	18648
59	7924	18491
60	8097	18452
61	8228	18313
62	8359	18178
63	8497	18056
64	8622	17908
65	8748	17761
66	8886	17640
67	9015	17501
68	9136	17346
69	9264	17205
70	9393	17066
71	9524	16931
72	9651	16791
73	9788	16666
74	9926	16544
75	10045	16389
76	10163	16235
77	10303	16115
78	10436	15985
79	10565	15847
80	10691	15707
81	10834	15591
82	10959	15448
83	11089	15313
84	11221	15182
85	11361	15060
86	11481	14912
87	11615	14782
88	11751	14655
89	11887	14529
90	12016	14393
91	12135	14246
92	12273	14121
93	12405	13989
94	12541	13861
95	12690	13747
96	12819	13612
97	12945	13474
98	13068	13333
99	13213	13213
100	13346	13082
101	13473	12944
102	13592	12800
103	13717	12662
104	13845	12526
105	13978	12395
106	14110	12264
107	14253	12141
108	14403	12025
109	14558	11911
110	14686	11776
111	14844	11663
112	15055	11591
113	15197	11464
114	15357	11350
115	15497	11221
116	15643	11097
117	15775	10962
118	15908	10828
119	16042	10694
120	16188	10569
121	16326	10438
122	16472	10312
123	16606	10177
124	16761	10057
125	16890	9919
126	17036	9792
127	17174	9660
128	17322	9534
129	17468	9406
130	17617	9279
131	17759	9148
132	17895	9015
133	18027	8879
134	18173	8750
135	18305	8614
136	18446	8482
137	18593	8353
138	18754	8230
139	18905	8102
140	19053	7972
141	19186	7836
142	19325	7703
143	19459	7567
144	19608	7437
145	19759	7308
146	19902	7175
147	20031	7037
148	20182	6908
149	20327	6775
150	20484	6647
151	20625	6513
152	20769	6380
153	20883	6237
154	21020	6102
155	21148	5965
156	21289	5830
157	21414	5692
158	21551	5557
159	21692	5423
160	21817	5284
161	21960	5151
162	22098	5016
163	22231	4880
164	22354	4741
165	22476	4603
166	22621	4470
167	22750	4333
168	22880	4197
169	23015	4061
170	23153	3926
171	23257	3786
172	23418	3654
173	23560	3520
174	23698	3385
175	23841	3251
176	23973	3115
177	24100	2978
178	24195	2838
179	24320	2702
180	24433	2564
181	24543	2427
182	24675	2292
183	24802	2156
184	24933	2021
185	25048	1885
186	25165	1749
187	25298	1614
188	25426	1479
189	25542	1344
190	25660	1209
191	25786	1074
192	25913	939
193	26020	804
194	26138	670
195	26261	535
196	26377	401
197	26496	267
198	26622	133
199	26741	0
