iter	RMSE
0	208157.251
1	202841.6285
2	197710.6004
3	192414.8835
4	187870.3156
5	183110.8098
6	179127.2394
7	175548.4808
8	171981.9762
9	168298.7683
10	164954.3053
11	161595.2964
12	158523.3973
13	155229.7287
14	152602.5068
15	150092.4839
16	147320.6863
17	144681.8935
18	142530.5543
19	140190.1762
20	137982.1131
21	135996.3792
22	133935.0414
23	132505.2086
24	130729.7397
25	129103.3896
26	127351.8372
27	125585.3371
28	124029.767
29	122515.35
30	121067.0645
31	119889.8012
32	118420.8516
33	117012.2741
34	115904.7109
35	115253.1608
36	113996.1387
37	112943.488
38	111880.7259
39	110606.0109
40	109850.537
41	109181.009
42	108242.1208
43	107505.9618
44	106521.2674
45	105711.9544
46	104889.8059
47	104167.8213
48	103233.6834
49	102190.8483
50	101601.1609
51	101027.3132
52	100136.5752
53	99480.87677
54	98954.95388
55	98151.74744
56	97617.27469
57	96758.13184
58	96337.49401
59	96010.59255
60	95503.57838
61	94957.97808
62	94530.22463
63	93905.88213
64	93400.40275
65	92867.74806
66	92492.07694
67	92019.45081
68	91566.02395
69	91201.64518
70	90740.61556
71	90211.13583
72	89843.46843
73	89612.75119
74	89188.65889
75	88706.78469
76	88257.24734
77	88007.28643
78	87536.30299
79	87326.48666
80	87068.2682
81	86940.13865
82	86607.05454
83	86291.95253
84	85912.83412
85	85620.39368
86	85294.24091
87	85093.06917
88	84861.17257
89	84585.46269
90	84330.53187
91	84086.95776
92	83736.84949
93	83535.52982
94	83282.49144
95	83078.43563
96	82867.40038
97	82554.48096
98	82303.20216
99	82069.18129
100	81593.24659
101	81406.53316
102	80845.92824
103	80422.54251
104	80005.69844
105	79901.76541
106	79665.64778
107	79210.30647
108	78793.86568
109	78665.24215
110	78256.13595
111	78054.30884
112	77937.45033
113	77705.69013
114	77554.47598
115	77334.47008
116	76972.73321
117	76662.72576
118	76414.5391
119	76164.85846
120	75929.05036
121	75763.77751
122	75554.18244
123	75289.18077
124	75141.97328
125	74767.51002
126	74643.92877
127	74135.84317
128	73761.88643
129	73598.95605
130	73458.99826
131	73077.89973
132	72822.70191
133	72492.12362
134	72270.42474
135	71932.71899
136	71811.03092
137	71614.56671
138	71197.1675
139	71069.8431
140	70878.26243
141	70756.61515
142	70605.67548
143	70308.66212
144	70062.80613
145	69847.06215
146	69575.12749
147	69219.0164
148	69064.04574
149	68926.28609
150	68611.58364
151	68351.67077
152	68146.50124
153	67893.3837
154	67690.56585
