iter	Passed	Remaining
0	12	12205
1	21	10826
2	32	10668
3	44	11190
4	55	11137
5	74	12283
6	89	12728
7	101	12613
8	113	12469
9	126	12514
10	138	12434
11	149	12332
12	159	12127
13	169	11930
14	185	12192
15	200	12346
16	224	12999
17	239	13077
18	250	12935
19	261	12835
20	273	12739
21	284	12651
22	297	12657
23	311	12660
24	321	12542
25	333	12474
26	345	12456
27	356	12390
28	369	12381
29	383	12393
30	396	12389
31	407	12317
32	416	12218
33	427	12151
34	438	12097
35	450	12052
36	459	11968
37	471	11929
38	482	11893
39	495	11897
40	505	11831
41	516	11772
42	526	11720
43	537	11674
44	547	11618
45	556	11549
46	569	11545
47	578	11479
48	588	11420
49	597	11344
50	606	11282
51	616	11237
52	625	11182
53	634	11108
54	643	11056
55	653	11012
56	661	10946
57	671	10899
58	680	10850
59	692	10853
60	709	10918
61	717	10858
62	726	10801
63	734	10745
64	743	10701
65	757	10715
66	769	10708
67	778	10671
68	787	10631
69	797	10593
70	811	10615
71	821	10593
72	833	10580
73	844	10564
74	854	10537
75	864	10509
76	874	10480
77	883	10440
78	890	10386
79	900	10350
80	910	10328
81	918	10285
82	926	10238
83	935	10202
84	943	10153
85	952	10125
86	962	10095
87	969	10052
88	977	10007
89	986	9972
90	994	9932
91	1002	9893
92	1010	9858
93	1019	9826
94	1028	9800
95	1037	9766
96	1045	9736
97	1053	9697
98	1062	9667
99	1070	9637
100	1078	9600
101	1087	9573
102	1096	9551
103	1105	9521
104	1113	9495
105	1122	9465
106	1130	9431
107	1138	9406
108	1147	9380
109	1155	9347
110	1164	9322
111	1171	9289
112	1182	9279
113	1193	9273
114	1203	9258
115	1212	9242
116	1221	9216
117	1230	9194
118	1238	9170
119	1246	9141
120	1255	9120
121	1263	9095
122	1271	9065
123	1280	9045
124	1288	9022
125	1296	8992
126	1304	8965
127	1312	8942
128	1320	8915
129	1329	8897
130	1338	8881
131	1346	8856
132	1355	8836
133	1364	8815
134	1371	8788
135	1380	8771
136	1388	8745
137	1396	8720
138	1404	8700
139	1412	8676
140	1420	8654
141	1429	8634
142	1436	8607
143	1444	8586
144	1451	8558
145	1459	8535
146	1467	8516
147	1476	8497
148	1484	8478
149	1492	8457
150	1499	8431
151	1507	8412
152	1515	8388
153	1522	8365
154	1530	8346
