iter	Passed	Remaining
0	166	166552
1	185	92667
2	206	68485
3	231	57593
4	259	51668
5	283	46951
6	303	43011
7	337	41830
8	356	39215
9	376	37282
10	396	35655
11	416	34301
12	438	33311
13	462	32554
14	483	31772
15	504	30997
16	539	31199
17	567	30958
18	586	30270
19	604	29636
20	626	29226
21	653	29065
22	679	28852
23	701	28542
24	723	28234
25	748	28036
26	772	27852
27	796	27633
28	813	27242
29	834	26989
30	860	26896
31	887	26852
32	907	26592
33	929	26402
34	947	26119
35	966	25881
36	984	25611
37	1002	25372
38	1022	25196
39	1041	24994
40	1062	24856
41	1086	24776
42	1106	24635
43	1128	24518
44	1148	24381
45	1189	24659
46	1218	24704
47	1242	24648
48	1267	24592
49	1298	24665
50	1320	24575
51	1345	24525
52	1368	24447
53	1392	24397
54	1421	24426
55	1448	24412
56	1481	24514
57	1520	24691
58	1556	24822
59	1583	24813
60	1620	24942
61	1648	24933
62	1673	24896
63	1698	24838
64	1725	24814
65	1747	24726
66	1772	24684
67	1793	24579
68	1818	24533
69	1843	24497
70	1867	24440
71	1888	24338
72	1917	24344
73	1945	24349
74	1971	24312
75	1989	24191
76	2015	24159
77	2041	24136
78	2067	24105
79	2098	24127
80	2122	24077
81	2148	24057
82	2171	23996
83	2189	23872
84	2208	23776
85	2229	23691
86	2249	23606
87	2267	23501
88	2287	23416
89	2305	23316
90	2366	23640
91	2457	24253
92	2564	25010
93	2651	25560
94	2734	26053
95	2754	25936
96	2776	25843
97	2796	25742
98	2832	25778
99	2853	25683
100	2873	25577
101	2894	25480
102	2915	25390
103	2935	25287
104	2955	25194
105	2976	25103
106	2999	25033
107	3030	25028
108	3055	24979
109	3082	24937
110	3111	24920
111	3140	24902
112	3168	24869
113	3188	24781
114	3210	24708
115	3235	24659
116	3253	24557
117	3272	24461
118	3293	24382
119	3315	24313
120	3335	24228
121	3358	24169
122	3384	24128
123	3407	24073
124	3431	24019
125	3458	23989
126	3486	23969
127	3511	23923
128	3534	23866
129	3562	23844
130	3589	23808
131	3615	23775
132	3636	23703
133	3660	23654
134	3682	23593
135	3701	23517
136	3721	23444
137	3743	23383
138	3766	23330
139	3786	23257
140	3806	23187
141	3822	23093
142	3843	23031
143	3862	22962
