iter	Passed	Remaining
0	196	196569
1	240	119935
2	277	92172
3	316	78741
4	351	70039
5	389	64524
6	453	64316
7	566	70196
8	607	66941
9	642	63628
10	676	60804
11	719	59259
12	762	57924
13	797	56185
14	835	54846
15	869	53480
16	904	52320
17	946	51634
18	978	50497
19	1006	49325
20	1040	48495
21	1070	47579
22	1099	46710
23	1132	46041
24	1175	45855
25	1209	45308
26	1262	45488
27	1316	45708
28	1359	45528
29	1418	45860
30	1464	45791
31	1505	45534
32	1548	45369
33	1587	45100
34	1631	44973
35	1677	44929
36	1715	44657
37	1747	44229
38	1783	43955
39	1824	43788
40	1862	43574
41	1895	43228
42	1927	42903
43	1961	42625
44	1996	42380
45	2032	42143
46	2074	42070
47	2110	41866
48	2148	41696
49	2183	41480
50	2216	41251
51	2253	41081
52	2283	40806
53	2324	40726
54	2364	40618
55	2401	40489
56	2437	40331
57	2474	40196
58	2513	40088
59	2555	40035
60	2592	39906
61	2627	39751
62	2658	39547
63	2697	39445
64	2734	39327
65	2775	39283
66	2812	39159
67	2846	39019
68	2880	38864
69	2912	38692
70	2944	38531
71	2980	38413
72	3012	38259
73	3045	38114
74	3081	38006
75	3116	37891
76	3154	37816
77	3198	37810
78	3237	37737
79	3278	37698
80	3315	37618
81	3355	37561
82	3395	37517
83	3432	37430
84	3473	37391
85	3517	37382
86	3554	37303
87	3590	37214
88	3628	37137
89	3659	37005
90	3696	36925
91	3737	36889
92	3777	36837
93	3818	36803
94	3867	36839
95	3911	36830
96	3949	36767
97	3979	36630
98	4019	36583
99	4061	36549
100	4104	36533
101	4146	36501
102	4180	36406
103	4215	36318
104	4251	36240
105	4290	36185
106	4323	36079
107	4357	35987
108	4387	35863
109	4418	35753
110	4453	35666
111	4492	35620
112	4524	35517
113	4563	35465
114	4598	35385
115	4631	35293
116	4668	35236
117	4706	35176
118	4748	35153
119	4787	35111
120	4821	35028
121	4859	34971
122	4894	34899
123	4927	34809
124	4963	34745
125	5012	34769
126	5048	34702
127	5084	34634
128	5116	34544
129	5150	34471
130	5192	34446
131	5228	34379
132	5264	34315
133	5303	34272
134	5341	34224
135	5377	34162
136	5411	34090
137	5449	34040
138	5489	34002
139	5523	33931
140	5557	33858
141	5588	33764
142	5632	33753
143	5676	33742
144	5710	33673
145	5805	33956
146	5888	34171
147	5930	34140
148	5965	34071
149	6005	34030
150	6041	33967
151	6080	33922
152	6122	33892
153	6165	33871
154	6202	33813
155	6238	33753
156	6270	33671
157	6305	33603
158	6342	33548
159	6388	33539
160	6423	33472
161	6454	33388
162	6505	33404
163	6557	33426
164	6604	33422
165	6645	33389
166	6684	33341
167	6721	33289
168	6763	33259
169	6799	33199
170	6834	33133
171	6872	33084
172	6909	33029
173	6947	32981
174	6986	32936
175	7027	32900
176	7062	32836
177	7098	32782
178	7135	32728
179	7177	32696
180	7214	32643
181	7256	32616
182	7299	32588
183	7338	32545
184	7379	32509
185	7415	32453
186	7455	32414
187	7491	32357
188	7522	32279
189	7551	32192
190	7588	32142
191	7624	32084
192	7660	32033
193	7700	31992
194	7737	31943
195	7773	31886
196	7812	31843
197	7844	31772
198	7880	31718
199	7919	31677
200	7949	31600
201	7986	31551
202	8020	31487
203	8054	31429
204	8085	31357
205	8132	31346
206	8175	31319
207	8214	31279
208	8261	31269
209	8307	31253
210	8356	31248
211	8401	31226
212	8438	31177
213	8484	31163
214	8519	31105
215	8561	31075
216	8598	31025
217	8637	30982
218	8672	30929
219	8711	30886
220	8749	30842
221	8784	30786
222	8823	30742
223	8861	30700
224	8907	30681
225	8948	30647
226	9015	30699
227	9064	30691
228	9103	30651
229	9140	30601
230	9176	30547
231	9211	30493
232	9258	30477
233	9300	30443
234	9332	30380
235	9366	30320
236	9398	30256
237	9436	30213
238	9473	30165
239	9517	30139
240	9550	30078
241	9581	30012
